epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,53.5949,1.37089,3.34318,1.44349,0.36762,0.45424,0.40655,0.24995,1.0737,2.07027,1.24373,0.000207917,0.000207917,0.000207917
2,94.7478,1.18061,2.28743,1.33033,0.66273,0.61122,0.66786,0.45571,1.02393,1.4788,1.20325,0.000408008,0.000408008,0.000408008
3,134.786,1.13301,1.87375,1.30813,0.74479,0.64108,0.72992,0.49344,0.99776,1.35825,1.18931,0.00059985,0.00059985,0.00059985
4,174.879,1.08628,1.63731,1.27371,0.74373,0.70517,0.77413,0.5537,0.93031,1.19269,1.14852,0.000587875,0.000587875,0.000587875
5,214.498,1.04687,1.49304,1.24785,0.77626,0.72137,0.80672,0.59689,0.87323,1.03767,1.09251,0.0005755,0.0005755,0.0005755
6,253.159,1.01749,1.40845,1.2294,0.81383,0.75033,0.82631,0.60479,0.86023,1.02073,1.09522,0.000563125,0.000563125,0.000563125
7,292.562,0.98772,1.33627,1.21185,0.82663,0.74752,0.83973,0.62935,0.83079,0.94586,1.0807,0.00055075,0.00055075,0.00055075
8,331.889,0.96313,1.2803,1.20092,0.83933,0.80289,0.8678,0.65075,0.82852,0.92662,1.0898,0.000538375,0.000538375,0.000538375
9,370.682,0.95004,1.23863,1.18598,0.8316,0.78698,0.86411,0.65067,0.8125,0.91166,1.08608,0.000526,0.000526,0.000526
10,409.628,0.93535,1.20552,1.17927,0.85344,0.82587,0.88065,0.67333,0.77957,0.83864,1.0634,0.000513625,0.000513625,0.000513625
11,447.887,0.92051,1.1697,1.17246,0.87887,0.81678,0.89043,0.67858,0.78911,0.83074,1.05947,0.00050125,0.00050125,0.00050125
12,487.161,0.91036,1.14628,1.16296,0.90071,0.82023,0.89337,0.67841,0.78267,0.82295,1.07347,0.000488875,0.000488875,0.000488875
13,525.963,0.89906,1.10022,1.15471,0.87888,0.82228,0.89178,0.68285,0.78153,0.79105,1.05675,0.0004765,0.0004765,0.0004765
14,565.337,0.88486,1.07801,1.14591,0.89559,0.82691,0.89721,0.70149,0.73899,0.76846,1.04037,0.000464125,0.000464125,0.000464125
15,604.091,0.87381,1.0486,1.14135,0.89022,0.8345,0.89923,0.70393,0.74432,0.75678,1.03965,0.00045175,0.00045175,0.00045175
16,642.81,0.86138,1.02878,1.1304,0.9138,0.84365,0.91199,0.71331,0.75723,0.71736,1.04257,0.000439375,0.000439375,0.000439375
17,681.567,0.84687,1.00643,1.12569,0.89789,0.85031,0.9125,0.72372,0.73015,0.69441,1.02669,0.000427,0.000427,0.000427
18,720.718,0.84435,0.99335,1.12258,0.8893,0.84287,0.91375,0.72451,0.72552,0.6934,1.03372,0.000414625,0.000414625,0.000414625
19,759.697,0.83485,0.97787,1.11747,0.90488,0.85699,0.91499,0.72415,0.71684,0.69042,1.02524,0.00040225,0.00040225,0.00040225
20,798.951,0.83091,0.96675,1.11531,0.9226,0.85169,0.9164,0.72855,0.71386,0.68428,1.01666,0.000389875,0.000389875,0.000389875
21,837.69,0.81313,0.94329,1.10113,0.92346,0.86287,0.92246,0.73385,0.70895,0.64943,1.00664,0.0003775,0.0003775,0.0003775
22,876.694,0.80571,0.93332,1.09161,0.92189,0.85916,0.92582,0.74619,0.6893,0.62689,0.99597,0.000365125,0.000365125,0.000365125
23,915.378,0.7986,0.90731,1.08692,0.92257,0.86429,0.9226,0.74181,0.69672,0.6439,1.00527,0.00035275,0.00035275,0.00035275
24,954.267,0.78936,0.90148,1.08404,0.91602,0.87375,0.92674,0.75155,0.67832,0.6262,0.99893,0.000340375,0.000340375,0.000340375
25,993.83,0.77811,0.88298,1.07569,0.92797,0.86191,0.92725,0.75163,0.67876,0.61941,0.98926,0.000328,0.000328,0.000328
26,1033.12,0.7764,0.86748,1.07519,0.91976,0.86997,0.93209,0.75731,0.67274,0.58918,0.99503,0.000315625,0.000315625,0.000315625
27,1071.39,0.76349,0.85398,1.06884,0.94137,0.86519,0.93432,0.76243,0.66085,0.59209,0.98509,0.00030325,0.00030325,0.00030325
28,1109.9,0.75491,0.84515,1.06266,0.92696,0.87467,0.93517,0.76311,0.65893,0.58668,0.98473,0.000290875,0.000290875,0.000290875
29,1149.79,0.74313,0.82492,1.05746,0.92308,0.86692,0.93542,0.76394,0.6584,0.57014,0.977,0.0002785,0.0002785,0.0002785
30,1189.16,0.74633,0.82897,1.05732,0.93523,0.87101,0.93339,0.76634,0.65674,0.57155,0.98174,0.000266125,0.000266125,0.000266125
31,1229.11,0.73832,0.81362,1.04987,0.9332,0.87801,0.93374,0.76562,0.65475,0.57481,0.98103,0.00025375,0.00025375,0.00025375
32,1268.09,0.73167,0.81043,1.04775,0.94292,0.87275,0.93819,0.77403,0.64596,0.55706,0.9753,0.000241375,0.000241375,0.000241375
33,1307.4,0.71814,0.79013,1.04036,0.93041,0.88919,0.94123,0.77877,0.63662,0.53674,0.96271,0.000229,0.000229,0.000229
34,1347.26,0.71397,0.77948,1.0373,0.94279,0.88248,0.94159,0.77685,0.64062,0.53781,0.96341,0.000216625,0.000216625,0.000216625
35,1385.69,0.70238,0.76772,1.02673,0.93222,0.88096,0.93974,0.77962,0.63657,0.53239,0.96782,0.00020425,0.00020425,0.00020425
36,1424.81,0.69786,0.77058,1.02795,0.94031,0.89647,0.94506,0.78634,0.62679,0.51446,0.96588,0.000191875,0.000191875,0.000191875
37,1464.01,0.69223,0.75186,1.02408,0.93985,0.88594,0.94453,0.79055,0.60871,0.50843,0.95062,0.0001795,0.0001795,0.0001795
38,1502.84,0.68565,0.74571,1.02052,0.94639,0.89193,0.946,0.78888,0.61373,0.51024,0.95273,0.000167125,0.000167125,0.000167125
39,1541.86,0.67789,0.73134,1.0173,0.946,0.88605,0.94472,0.79034,0.61132,0.50595,0.95527,0.00015475,0.00015475,0.00015475
40,1581.21,0.67442,0.72462,1.01516,0.94371,0.89116,0.9475,0.79173,0.61665,0.50284,0.95781,0.000142375,0.000142375,0.000142375
41,1622.55,0.59211,0.51504,0.95255,0.94716,0.88914,0.94384,0.78751,0.60938,0.50729,0.95386,0.00013,0.00013,0.00013
42,1661.72,0.57941,0.50187,0.94644,0.94039,0.89269,0.94352,0.79045,0.60694,0.50414,0.95114,0.000117625,0.000117625,0.000117625
43,1700.99,0.56668,0.4853,0.93766,0.9413,0.88477,0.94061,0.79336,0.59781,0.50998,0.95206,0.00010525,0.00010525,0.00010525
44,1739.31,0.56031,0.48126,0.93675,0.93644,0.89419,0.94574,0.79552,0.59589,0.4933,0.95029,9.2875e-05,9.2875e-05,9.2875e-05
45,1778.44,0.54902,0.47352,0.93337,0.93152,0.89008,0.94454,0.79491,0.58953,0.50137,0.94775,8.05e-05,8.05e-05,8.05e-05
46,1817.43,0.5384,0.46467,0.92568,0.94587,0.88544,0.94385,0.79614,0.58943,0.49305,0.9506,6.8125e-05,6.8125e-05,6.8125e-05
47,1856.49,0.53168,0.45741,0.92273,0.94789,0.8932,0.94576,0.79692,0.59308,0.48345,0.95107,5.575e-05,5.575e-05,5.575e-05
48,1895.85,0.52139,0.44743,0.91999,0.94102,0.89362,0.9462,0.80069,0.58727,0.48403,0.94859,4.3375e-05,4.3375e-05,4.3375e-05
49,1934.51,0.51603,0.44357,0.91529,0.94079,0.89226,0.94627,0.80011,0.58134,0.48176,0.94426,3.1e-05,3.1e-05,3.1e-05
50,1974.03,0.50726,0.44234,0.91489,0.9397,0.89192,0.94527,0.80197,0.58122,0.48427,0.9444,1.8625e-05,1.8625e-05,1.8625e-05
