epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,37.574,1.35874,3.16067,1.43836,0.40402,0.52579,0.46065,0.28836,1.06122,1.96624,1.25788,0.000207917,0.000207917,0.000207917
2,69.8013,1.14116,2.12743,1.31163,0.68931,0.60306,0.68692,0.47025,1.00981,1.53174,1.2717,0.000408008,0.000408008,0.000408008
3,101.664,1.09146,1.76803,1.28715,0.75929,0.67842,0.77914,0.5527,0.93903,1.25004,1.23418,0.00059985,0.00059985,0.00059985
4,132.679,1.04847,1.54991,1.26054,0.80213,0.71428,0.80947,0.58768,0.90253,1.12706,1.19552,0.000587875,0.000587875,0.000587875
5,164.1,1.01243,1.42058,1.2406,0.85405,0.765,0.84896,0.62324,0.86807,1.00244,1.12966,0.0005755,0.0005755,0.0005755
6,195.488,0.98105,1.33085,1.22086,0.81488,0.74772,0.83258,0.62858,0.83651,0.9947,1.15285,0.000563125,0.000563125,0.000563125
7,226.788,0.95331,1.25652,1.20649,0.84764,0.77087,0.85816,0.65272,0.80242,0.92802,1.10474,0.00055075,0.00055075,0.00055075
8,257.725,0.92979,1.20812,1.19221,0.84009,0.78982,0.86444,0.66323,0.79635,0.89794,1.10837,0.000538375,0.000538375,0.000538375
9,288.647,0.91654,1.15541,1.18127,0.87065,0.80922,0.8848,0.6854,0.7776,0.83163,1.09336,0.000526,0.000526,0.000526
10,320.162,0.90081,1.12957,1.17329,0.88556,0.8118,0.89536,0.69406,0.76855,0.79795,1.09755,0.000513625,0.000513625,0.000513625
11,351.445,0.8866,1.09503,1.16207,0.8987,0.83099,0.90641,0.71051,0.74386,0.75987,1.078,0.00050125,0.00050125,0.00050125
12,382.679,0.87263,1.06694,1.15579,0.89215,0.82741,0.90191,0.70207,0.7594,0.75862,1.08524,0.000488875,0.000488875,0.000488875
13,414.462,0.86321,1.03233,1.14924,0.89531,0.83403,0.90151,0.71294,0.72316,0.76312,1.06322,0.0004765,0.0004765,0.0004765
14,446.243,0.85081,1.01545,1.14213,0.89461,0.82076,0.89944,0.7174,0.7246,0.74062,1.0677,0.000464125,0.000464125,0.000464125
15,477.996,0.83932,0.99973,1.13957,0.90737,0.84996,0.91198,0.71792,0.74456,0.70863,1.08725,0.00045175,0.00045175,0.00045175
16,509.752,0.82835,0.9738,1.12894,0.90169,0.83882,0.91214,0.73251,0.70362,0.68382,1.05322,0.000439375,0.000439375,0.000439375
17,541.766,0.81356,0.94555,1.12018,0.90902,0.84859,0.91575,0.72894,0.71943,0.67352,1.06441,0.000427,0.000427,0.000427
18,573.449,0.80689,0.94128,1.11985,0.90332,0.84602,0.91509,0.73181,0.71261,0.66696,1.06322,0.000414625,0.000414625,0.000414625
19,605.446,0.79444,0.92006,1.10695,0.92321,0.8534,0.92453,0.74469,0.69314,0.6349,1.0457,0.00040225,0.00040225,0.00040225
20,637.249,0.79357,0.9076,1.10684,0.9258,0.86157,0.92915,0.74815,0.68677,0.62681,1.03717,0.000389875,0.000389875,0.000389875
21,669.329,0.77659,0.88675,1.09849,0.92281,0.86633,0.92567,0.74875,0.68594,0.6149,1.04187,0.0003775,0.0003775,0.0003775
22,701.409,0.77496,0.88648,1.09432,0.91513,0.86826,0.92753,0.75539,0.66511,0.60169,1.02097,0.000365125,0.000365125,0.000365125
23,733.211,0.75935,0.85656,1.08385,0.91421,0.85978,0.92641,0.75772,0.66002,0.60143,1.02291,0.00035275,0.00035275,0.00035275
24,765.141,0.75396,0.84887,1.07917,0.91562,0.86282,0.92639,0.76092,0.65126,0.59704,1.01821,0.000340375,0.000340375,0.000340375
25,797.169,0.74268,0.82967,1.07606,0.92784,0.85551,0.92969,0.76621,0.63921,0.58356,1.01723,0.000328,0.000328,0.000328
26,829.127,0.74056,0.82166,1.07408,0.92952,0.86132,0.92876,0.76248,0.64709,0.58708,1.00868,0.000315625,0.000315625,0.000315625
27,860.684,0.73499,0.8127,1.06974,0.9249,0.86763,0.93158,0.7675,0.64587,0.57209,1.01257,0.00030325,0.00030325,0.00030325
28,893.346,0.72081,0.80346,1.06237,0.91537,0.87341,0.93175,0.77271,0.62795,0.56093,0.99738,0.000290875,0.000290875,0.000290875
29,925.164,0.71599,0.78497,1.06023,0.92963,0.87074,0.93617,0.7756,0.63494,0.53782,1.00828,0.0002785,0.0002785,0.0002785
30,958.534,0.71549,0.79081,1.06438,0.94516,0.87744,0.93934,0.77612,0.63552,0.54566,1.00589,0.000266125,0.000266125,0.000266125
31,996.435,0.70725,0.77379,1.05483,0.93789,0.87647,0.93889,0.77736,0.6287,0.53148,0.99951,0.00025375,0.00025375,0.00025375
32,1030.39,0.70348,0.77011,1.05311,0.93885,0.88791,0.94073,0.7805,0.63037,0.52527,1.00978,0.000241375,0.000241375,0.000241375
33,1062.59,0.69527,0.7574,1.04827,0.93119,0.89126,0.9414,0.78469,0.61949,0.51263,0.9938,0.000229,0.000229,0.000229
34,1096.01,0.68554,0.74245,1.04149,0.92951,0.8813,0.9423,0.79053,0.61123,0.50662,0.99225,0.000216625,0.000216625,0.000216625
35,1128.91,0.67485,0.731,1.03218,0.93582,0.88228,0.94159,0.78659,0.60926,0.51039,0.99194,0.00020425,0.00020425,0.00020425
36,1161.56,0.67171,0.73282,1.03482,0.93985,0.89335,0.94459,0.79146,0.60267,0.49962,0.98851,0.000191875,0.000191875,0.000191875
37,1194.82,0.66521,0.71453,1.02971,0.94392,0.88679,0.94607,0.79635,0.59713,0.48829,0.98656,0.0001795,0.0001795,0.0001795
38,1227.94,0.66512,0.70848,1.02897,0.93866,0.89403,0.94429,0.79557,0.59256,0.48819,0.98066,0.000167125,0.000167125,0.000167125
39,1261.58,0.65781,0.70495,1.02626,0.9396,0.88917,0.94167,0.79494,0.59626,0.48426,0.98431,0.00015475,0.00015475,0.00015475
40,1294.29,0.64621,0.69166,1.0179,0.94919,0.88507,0.94541,0.79621,0.59648,0.4768,0.98631,0.000142375,0.000142375,0.000142375
41,1328.03,0.56424,0.48259,0.95892,0.94765,0.88141,0.94261,0.79407,0.5919,0.48513,0.98696,0.00013,0.00013,0.00013
42,1360.22,0.55169,0.47372,0.95185,0.94894,0.88234,0.94231,0.7957,0.58501,0.48309,0.97843,0.000117625,0.000117625,0.000117625
43,1392.57,0.5369,0.45296,0.94156,0.93867,0.88298,0.9428,0.79533,0.58742,0.48568,0.97682,0.00010525,0.00010525,0.00010525
44,1424.6,0.52931,0.45153,0.94144,0.93929,0.88538,0.94423,0.79898,0.5841,0.47961,0.97912,9.2875e-05,9.2875e-05,9.2875e-05
45,1457.01,0.52363,0.44234,0.93546,0.9426,0.88124,0.94482,0.79812,0.58149,0.47257,0.97569,8.05e-05,8.05e-05,8.05e-05
46,1489.61,0.51217,0.43271,0.92894,0.93715,0.88989,0.94379,0.8009,0.5783,0.47236,0.97679,6.8125e-05,6.8125e-05,6.8125e-05
47,1522.73,0.50864,0.42944,0.92939,0.93977,0.89704,0.94657,0.8037,0.57655,0.46179,0.97691,5.575e-05,5.575e-05,5.575e-05
48,1555.94,0.49855,0.42162,0.92419,0.93708,0.8882,0.94488,0.80145,0.58109,0.46799,0.97921,4.3375e-05,4.3375e-05,4.3375e-05
49,1588.11,0.49149,0.41485,0.91936,0.94508,0.88967,0.94589,0.80298,0.57665,0.46316,0.97859,3.1e-05,3.1e-05,3.1e-05
50,1620.14,0.48391,0.41077,0.91667,0.94289,0.88802,0.94567,0.80423,0.57584,0.46152,0.97897,1.8625e-05,1.8625e-05,1.8625e-05
