epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.841,0.52833,4.28596,1.14416,0.01141,0.55476,0.02339,0.0226,0.2385,3.71687,0.32209,4.94749e-05,4.94749e-05,4.94749e-05
2,41.0648,0.2665,3.72687,0.9953,0.41321,0.1649,0.12628,0.12609,0.14389,2.96738,0.18355,9.42341e-05,9.42341e-05,9.42341e-05
3,59.1874,0.266,3.09546,0.99109,0.36676,0.32361,0.28715,0.28644,0.09754,2.36371,0.13049,0.000134076,0.000134076,0.000134076
4,76.7506,0.24198,2.58546,0.97697,0.53708,0.40718,0.46384,0.46251,0.16591,2.01664,0.14795,0.000126873,0.000126873,0.000126873
5,93.8575,0.22698,2.24427,0.96609,0.62204,0.54983,0.6053,0.60499,0.09423,1.60406,0.11071,0.000119498,0.000119498,0.000119498
6,110.946,0.2176,2.01064,0.96289,0.7973,0.57211,0.69523,0.69463,0.09734,1.35631,0.11559,0.000112122,0.000112122,0.000112122
7,128.453,0.19921,1.85065,0.95263,0.73878,0.69363,0.77569,0.7756,0.07841,1.16333,0.10972,0.000104747,0.000104747,0.000104747
8,145.897,0.19004,1.7173,0.94841,0.79482,0.70838,0.81385,0.81311,0.13991,1.11524,0.12884,9.73715e-05,9.73715e-05,9.73715e-05
9,164.057,0.18882,1.616,0.94571,0.82208,0.77214,0.8417,0.83998,0.09713,0.97399,0.12045,8.9996e-05,8.9996e-05,8.9996e-05
10,181.768,0.17698,1.52199,0.93829,0.87578,0.77824,0.87211,0.87179,0.07565,0.91236,0.11236,8.26205e-05,8.26205e-05,8.26205e-05
11,200.273,0.06386,0.81453,0.90452,0.88386,0.83592,0.90618,0.90618,0.06629,0.68611,0.06821,7.5245e-05,7.5245e-05,7.5245e-05
12,216.724,0.04818,0.63384,0.9022,0.9273,0.86795,0.93841,0.93841,0.06786,0.53994,0.06874,6.78695e-05,6.78695e-05,6.78695e-05
13,234.452,0.04422,0.54557,0.89762,0.92892,0.9111,0.96935,0.96935,0.06213,0.47278,0.06382,6.0494e-05,6.0494e-05,6.0494e-05
14,251.841,0.0406,0.47573,0.90015,0.92862,0.94076,0.98015,0.98015,0.06414,0.41075,0.06373,5.31185e-05,5.31185e-05,5.31185e-05
15,269.111,0.03817,0.43521,0.9003,0.94603,0.91994,0.97946,0.97946,0.06224,0.42089,0.06211,4.5743e-05,4.5743e-05,4.5743e-05
16,286.66,0.03489,0.39044,0.89823,0.93628,0.93268,0.97801,0.97801,0.06504,0.41296,0.06303,3.83675e-05,3.83675e-05,3.83675e-05
17,304.171,0.0342,0.36993,0.89746,0.94953,0.97094,0.98686,0.98686,0.06927,0.34579,0.06322,3.0992e-05,3.0992e-05,3.0992e-05
18,321.131,0.03138,0.34064,0.902,0.97299,0.95018,0.98999,0.98999,0.07375,0.34516,0.06774,2.36165e-05,2.36165e-05,2.36165e-05
19,338.265,0.02954,0.33133,0.90185,0.94346,0.98476,0.992,0.992,0.07472,0.34229,0.06683,1.6241e-05,1.6241e-05,1.6241e-05
20,356.388,0.02799,0.30579,0.90293,0.93214,0.98117,0.99098,0.99098,0.06907,0.34021,0.06501,8.8655e-06,8.8655e-06,8.8655e-06
