epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.31425,0.68585,3.45634,1.22058,0.00596,0.97222,0.10776,0.06748,0.7394,3.35528,0.68872,0.000204403,0.000204403,0.000204403
2,10.0292,0.40284,2.58891,1.04447,0.38453,0.65451,0.53474,0.51848,0.29104,2.04652,0.21798,0.000392305,0.000392305,0.000392305
3,13.5802,0.39702,1.88318,1.03894,0.71304,0.54012,0.63409,0.62091,0.19719,2.22077,0.17271,0.000559583,0.000559583,0.000559583
4,17.1463,0.36923,1.51325,1.01965,0.83408,0.66884,0.85252,0.84662,0.26984,1.25147,0.21814,0.000532187,0.000532187,0.000532187
5,20.7241,0.34205,1.29193,1.00574,0.75833,0.87502,0.92058,0.91099,0.23453,0.95633,0.19836,0.00050125,0.00050125,0.00050125
6,24.32,0.32353,1.1414,0.99957,0.76227,0.8113,0.88567,0.8696,0.19917,0.86829,0.20208,0.000470312,0.000470312,0.000470312
7,27.8984,0.28662,1.05425,0.9706,0.91831,0.84464,0.96392,0.96364,0.2246,0.8209,0.18049,0.000439375,0.000439375,0.000439375
8,31.6363,0.27706,0.96198,0.97387,0.85574,0.92667,0.96607,0.96507,0.17328,0.66116,0.16668,0.000408438,0.000408438,0.000408438
9,35.3772,0.27273,0.88027,0.96701,0.86751,0.90635,0.97078,0.9698,0.18209,0.58777,0.15846,0.0003775,0.0003775,0.0003775
10,39.0674,0.24105,0.82819,0.95145,0.89774,0.89568,0.9785,0.9785,0.19511,0.73043,0.15973,0.000346563,0.000346563,0.000346563
11,43.5604,0.11292,0.56661,0.92087,0.78756,0.96442,0.98055,0.98055,0.20223,1.06999,0.13992,0.000315625,0.000315625,0.000315625
12,47.2221,0.09719,0.43436,0.9256,0.9423,0.90028,0.96803,0.96803,0.21194,0.75387,0.14218,0.000284688,0.000284688,0.000284688
13,50.9223,0.07514,0.39517,0.91084,0.95263,0.94713,0.98532,0.98521,0.25585,0.64127,0.16066,0.00025375,0.00025375,0.00025375
14,54.6405,0.07364,0.35838,0.90497,0.98743,0.97158,0.985,0.98408,0.258,0.60802,0.16432,0.000222813,0.000222813,0.000222813
15,58.2892,0.06212,0.27827,0.89828,0.99261,0.98958,0.98539,0.98174,0.24995,0.57646,0.16002,0.000191875,0.000191875,0.000191875
16,61.9634,0.05555,0.24866,0.90805,0.99473,0.98958,0.9882,0.98236,0.26365,0.52761,0.16877,0.000160938,0.000160938,0.000160938
17,65.9523,0.04953,0.24097,0.90365,0.98355,0.97987,0.98605,0.97582,0.27123,0.55202,0.17778,0.00013,0.00013,0.00013
18,70.695,0.04688,0.21575,0.9037,0.98792,0.98874,0.98518,0.98504,0.26607,0.53888,0.17241,9.90625e-05,9.90625e-05,9.90625e-05
19,74.8163,0.05018,0.23204,0.90741,0.98844,0.98958,0.98552,0.98534,0.29175,0.54043,0.18646,6.8125e-05,6.8125e-05,6.8125e-05
20,78.4426,0.04386,0.22213,0.89591,0.98866,0.98958,0.98545,0.98514,0.2804,0.53288,0.18137,3.71875e-05,3.71875e-05,3.71875e-05
