                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.55129,                 4.3105,                 1.1524,                0.01614,                0.36889,                0.02179,                0.01948,                0.23483,                 3.8983,                0.35539,             4.9413e-05,             4.9413e-05,             4.9413e-05
                      2,                0.25624,                 3.8646,                0.98835,                0.57093,                0.09616,                 0.1176,                0.11759,                0.15646,                 3.1257,                0.21196,             9.4175e-05,             9.4175e-05,             9.4175e-05
                      3,                0.25272,                 3.3094,                 0.9795,                0.45971,                0.24122,                0.25303,                0.25228,                0.18059,                 2.5692,                0.18659,             0.00013402,             0.00013402,             0.00013402
                      4,                0.24007,                 2.8045,                0.97659,                0.41913,                0.42747,                 0.4256,                 0.4254,                0.09856,                 2.1109,                0.12937,             0.00012687,             0.00012687,             0.00012687
                      5,                 0.2242,                 2.4293,                0.96595,                0.64783,                0.50257,                0.58997,                0.58719,                0.13571,                 1.6873,                0.15449,              0.0001195,              0.0001195,              0.0001195
                      6,                0.20166,                 2.1644,                 0.9524,                0.75294,                0.56247,                0.66353,                0.66226,                0.10013,                 1.4697,                0.13394,             0.00011212,             0.00011212,             0.00011212
                      7,                0.19803,                 1.9835,                0.95206,                0.74732,                 0.6577,                 0.7526,                0.75192,                0.07975,                 1.2999,                0.12069,             0.00010475,             0.00010475,             0.00010475
                      8,                0.18384,                 1.8456,                0.94379,                0.73944,                0.70568,                0.79814,                0.79603,                0.12978,                  1.183,                0.16121,             9.7371e-05,             9.7371e-05,             9.7371e-05
                      9,                0.17844,                 1.7213,                0.94334,                0.77679,                0.72098,                0.81777,                0.81278,                0.13455,                 1.0696,                0.16852,             8.9996e-05,             8.9996e-05,             8.9996e-05
                     10,                0.17326,                  1.633,                0.93737,                0.83747,                0.74044,                0.85602,                0.85138,                0.10997,                0.93007,                0.15913,              8.262e-05,              8.262e-05,              8.262e-05
                     11,                0.07571,                0.93956,                0.91145,                0.86959,                0.78659,                0.87409,                0.87409,                0.06724,                0.78647,                0.07626,             7.5245e-05,             7.5245e-05,             7.5245e-05
                     12,                0.05469,                0.75282,                0.89716,                0.88124,                0.84716,                0.90918,                0.90918,                0.06188,                0.67273,                0.07043,             6.7869e-05,             6.7869e-05,             6.7869e-05
                     13,                0.04879,                 0.6625,                0.90261,                0.91497,                 0.8706,                0.94714,                0.94714,                0.07241,                0.55009,                0.07212,             6.0494e-05,             6.0494e-05,             6.0494e-05
                     14,                0.04537,                0.58726,                0.89768,                0.89343,                0.90068,                0.95004,                0.95004,                0.07321,                0.54931,                0.06945,             5.3118e-05,             5.3118e-05,             5.3118e-05
                     15,                0.04182,                0.53526,                0.90007,                0.93594,                 0.9012,                0.96532,                0.96532,                0.07062,                0.49789,                0.06711,             4.5743e-05,             4.5743e-05,             4.5743e-05
                     16,                0.03875,                 0.4952,                0.89995,                0.93736,                0.89786,                0.95822,                0.95822,                0.08509,                0.47423,                0.07257,             3.8368e-05,             3.8368e-05,             3.8368e-05
                     17,                0.03688,                 0.4682,                0.90092,                0.94828,                0.91284,                0.96442,                0.96442,                0.07571,                0.44457,                0.07056,             3.0992e-05,             3.0992e-05,             3.0992e-05
                     18,                0.03644,                0.43234,                0.89808,                0.93061,                0.92723,                0.96781,                0.96781,                0.06654,                  0.422,                0.06702,             2.3617e-05,             2.3617e-05,             2.3617e-05
                     19,                0.03302,                0.41594,                0.90002,                0.94336,                0.92889,                0.97389,                0.97389,                0.06996,                0.39445,                0.06907,             1.6241e-05,             1.6241e-05,             1.6241e-05
                     20,                0.03278,                0.40095,                0.89688,                0.94474,                0.92099,                0.96945,                0.96945,                 0.0739,                 0.4089,                0.07108,             8.8655e-06,             8.8655e-06,             8.8655e-06
