                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 0.7304,                  3.509,                 1.2413,                0.00586,                      1,                0.13891,                0.09273,                0.19248,                 3.3617,                0.27522,             0.00020325,             0.00020325,             0.00020325
                      2,                0.37707,                 2.8007,                 1.0356,                0.57926,                0.47139,                0.54269,                0.53304,                0.25094,                 1.7026,                0.23278,             0.00039121,             0.00039121,             0.00039121
                      3,                0.38308,                 2.1487,                  1.038,                0.31147,                0.43779,                0.41358,                0.40039,                0.24993,                  2.261,                0.20627,             0.00055855,             0.00055855,             0.00055855
                      4,                0.36128,                 1.6882,                 1.0174,                0.65198,                0.74185,                0.80015,                0.79043,                0.21275,                 1.5899,                0.17262,             0.00053219,             0.00053219,             0.00053219
                      5,                0.34164,                 1.4546,                 1.0067,                0.66543,                0.79554,                  0.823,                0.80473,                0.34016,                 1.2721,                0.26333,             0.00050125,             0.00050125,             0.00050125
                      6,                0.30002,                 1.2701,                0.98161,                0.76346,                0.83747,                0.91003,                0.91003,                0.12754,                 1.0556,                0.13102,             0.00047031,             0.00047031,             0.00047031
                      7,                0.27829,                 1.1492,                0.97897,                0.88662,                0.84314,                0.93871,                0.93871,                0.16289,                0.66445,                0.14376,             0.00043937,             0.00043937,             0.00043937
                      8,                0.27285,                 1.0511,                0.96811,                0.88816,                0.88116,                0.96003,                0.96003,                0.16277,                0.67005,                 0.1608,             0.00040844,             0.00040844,             0.00040844
                      9,                0.26302,                0.97862,                0.96611,                  0.922,                0.88167,                0.97058,                0.96186,                0.26792,                0.64512,                0.22926,              0.0003775,              0.0003775,              0.0003775
                     10,                0.23398,                0.92597,                0.94891,                0.92751,                0.95805,                0.98434,                 0.9678,                0.25952,                0.56687,                0.22915,             0.00034656,             0.00034656,             0.00034656
                     11,                0.11854,                0.68666,                0.92099,                0.93997,                0.88329,                0.94569,                0.94569,                0.11021,                0.78129,                0.09955,             0.00031562,             0.00031562,             0.00031562
                     12,                0.09105,                0.50734,                0.91022,                0.92766,                0.88588,                0.97249,                0.97249,                0.14592,                0.73573,                0.11014,             0.00028469,             0.00028469,             0.00028469
                     13,                 0.0845,                0.42844,                0.89894,                0.96144,                0.95216,                0.98889,                0.98889,                0.17789,                0.53935,                0.12026,             0.00025375,             0.00025375,             0.00025375
                     14,                0.07226,                0.38615,                0.90945,                0.95895,                0.94978,                0.98119,                0.98117,                0.18921,                0.62491,                0.12598,             0.00022281,             0.00022281,             0.00022281
                     15,                0.07044,                0.33054,                0.91075,                0.98114,                0.97472,                  0.995,                  0.995,                0.22355,                0.52586,                 0.1414,             0.00019188,             0.00019188,             0.00019188
                     16,                0.06198,                0.30968,                0.89842,                0.97425,                0.96412,                0.99142,                0.99142,                0.20516,                0.55747,                0.13535,             0.00016094,             0.00016094,             0.00016094
                     17,                0.05793,                0.27184,                0.90766,                0.98317,                0.97457,                  0.995,                  0.995,                0.16016,                0.44853,                0.11579,                0.00013,                0.00013,                0.00013
                     18,                0.05289,                0.25482,                0.90825,                0.98056,                0.96166,                0.98951,                0.98951,                0.20468,                0.54374,                0.13734,             9.9063e-05,             9.9063e-05,             9.9063e-05
                     19,                   0.05,                0.24236,                0.90297,                0.98206,                0.97415,                0.99269,                0.99269,                0.20308,                0.51199,                0.13605,             6.8125e-05,             6.8125e-05,             6.8125e-05
                     20,                0.04648,                0.21907,                0.90239,                0.98347,                0.97406,                0.99269,                0.99269,                0.18576,                0.47106,                0.12431,             3.7188e-05,             3.7188e-05,             3.7188e-05
