                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.9255,                 5.3523,                 4.1089,                      0,                      0,                      0,                      0,                 3.1751,                 4.3141,                 3.7352,             4.9413e-05,             4.9413e-05,             4.9413e-05
                      2,                  1.735,                 4.6935,                 3.0036,                0.01468,                0.71024,                0.02906,                0.02441,                0.87689,                 3.5679,                 1.7112,             9.4175e-05,             9.4175e-05,             9.4175e-05
                      3,                0.98587,                 3.6785,                  1.998,                0.01537,                0.98413,                0.03768,                0.03311,                 0.6634,                 3.1292,                0.90595,             0.00013402,             0.00013402,             0.00013402
                      4,                0.72242,                  3.271,                 1.5869,                0.01579,                      1,                0.05017,                0.04426,                0.68208,                   2.95,                0.69011,             0.00012687,             0.00012687,             0.00012687
                      5,                0.58671,                  3.137,                 1.3888,                0.01536,                      1,                0.04198,                0.03739,                0.66769,                 2.9065,                0.55994,              0.0001195,              0.0001195,              0.0001195
                      6,                0.49505,                 3.0541,                  1.274,                 0.0155,                      1,                0.03899,                0.03499,                 0.5505,                 2.8539,                 0.4883,             0.00011212,             0.00011212,             0.00011212
                      7,                0.45611,                 3.0157,                 1.2141,                0.01579,                      1,                0.04097,                0.04067,                0.35314,                 2.8344,                0.34162,             0.00010475,             0.00010475,             0.00010475
                      8,                0.41444,                  2.979,                 1.1668,                0.01575,                      1,                0.04707,                0.04666,                0.41979,                 2.8404,                0.35873,             9.7371e-05,             9.7371e-05,             9.7371e-05
                      9,                 0.3917,                 2.9569,                 1.1388,                0.01583,                      1,                0.04476,                0.04454,                0.41885,                 2.8165,                0.35842,             8.9996e-05,             8.9996e-05,             8.9996e-05
                     10,                0.37416,                 2.9417,                 1.1184,                0.01574,                      1,                0.04738,                0.04737,                 0.3856,                 2.8084,                0.33544,              8.262e-05,              8.262e-05,              8.262e-05
                     11,                0.14401,                 2.9964,                 1.0218,                0.01585,                      1,                0.05922,                0.05892,                 0.4104,                 2.8332,                 0.3482,             7.5245e-05,             7.5245e-05,             7.5245e-05
                     12,                 0.0997,                 2.8379,                0.96363,                0.01587,                      1,                0.08276,                0.08223,                0.35013,                 2.7521,                0.29941,             6.7869e-05,             6.7869e-05,             6.7869e-05
                     13,                0.08924,                 2.7681,                0.95546,                0.04107,                0.87255,                 0.1067,                0.10649,                0.35002,                 2.6512,                0.28186,             6.0494e-05,             6.0494e-05,             6.0494e-05
                     14,                0.08443,                 2.7098,                0.94433,                0.30804,                0.27676,                0.15403,                0.15331,                0.35844,                 2.5984,                0.28115,             5.3118e-05,             5.3118e-05,             5.3118e-05
                     15,                0.08158,                  2.657,                0.94524,                0.60536,                0.19238,                0.16551,                0.16479,                 0.3257,                 2.6112,                0.27327,             4.5743e-05,             4.5743e-05,             4.5743e-05
                     16,                0.07834,                 2.6021,                0.94376,                0.51547,                0.21788,                0.21422,                0.21349,                0.32439,                 2.4944,                0.26331,             3.8368e-05,             3.8368e-05,             3.8368e-05
                     17,                0.07779,                 2.5372,                 0.9439,                0.58513,                0.20635,                0.24892,                0.24864,                0.33322,                 2.4341,                0.26793,             3.0992e-05,             3.0992e-05,             3.0992e-05
                     18,                0.07724,                  2.491,                0.94174,                0.51033,                0.29717,                0.27756,                0.27719,                0.32803,                 2.3662,                 0.2593,             2.3617e-05,             2.3617e-05,             2.3617e-05
                     19,                0.07269,                 2.4447,                 0.9407,                0.51166,                0.27908,                0.31275,                 0.3123,                0.33222,                 2.3245,                0.26476,             1.6241e-05,             1.6241e-05,             1.6241e-05
                     20,                0.07307,                 2.4202,                0.93953,                0.52042,                0.31879,                 0.3218,                0.32131,                0.32706,                 2.3138,                0.25802,             8.8655e-06,             8.8655e-06,             8.8655e-06
