                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.8413,                 5.4051,                 4.1349,                0.00368,                0.20951,                0.00754,                0.00402,                 1.2685,                 4.4432,                 4.0953,             4.9413e-05,             4.9413e-05,             4.9413e-05
                      2,                 1.4244,                 4.5645,                 3.0453,                0.01344,                0.80098,                0.04272,                0.03677,                0.73765,                 3.3959,                 2.1791,             9.4175e-05,             9.4175e-05,             9.4175e-05
                      3,                0.92289,                 3.6914,                 2.2343,                0.01557,                0.98124,                0.03817,                0.03471,                0.60725,                 3.1307,                  1.805,             0.00013402,             0.00013402,             0.00013402
                      4,                0.73998,                 3.3458,                  1.804,                0.01583,                      1,                0.03626,                0.03316,                0.48962,                  2.969,                  1.478,             0.00012687,             0.00012687,             0.00012687
                      5,                0.62289,                 3.2319,                 1.5682,                0.01574,                      1,                0.03787,                0.03502,                0.45472,                 2.9451,                 1.4607,              0.0001195,              0.0001195,              0.0001195
                      6,                0.53646,                 3.1513,                 1.4098,                0.01586,                      1,                0.03953,                0.03572,                0.50191,                 2.9239,                 1.3586,             0.00011212,             0.00011212,             0.00011212
                      7,                0.48702,                 3.0989,                 1.3221,                0.01585,                      1,                0.04231,                0.04025,                0.45636,                 2.9032,                 1.3081,             0.00010475,             0.00010475,             0.00010475
                      8,                0.43837,                 3.0472,                 1.2515,                0.01578,                      1,                0.04605,                0.04505,                0.41832,                 2.8643,                 1.3099,             9.7371e-05,             9.7371e-05,             9.7371e-05
                      9,                0.42112,                 3.0164,                 1.2187,                0.01558,                      1,                0.05323,                0.05195,                0.41385,                 2.8372,                 1.3353,             8.9996e-05,             8.9996e-05,             8.9996e-05
                     10,                0.39165,                  2.983,                 1.1847,                0.01571,                      1,                 0.0641,                0.06037,                 0.4743,                 2.8314,                 1.4386,              8.262e-05,              8.262e-05,              8.262e-05
                     11,                0.16087,                 3.0084,                 1.0346,                0.01624,                0.99603,                0.07334,                0.06845,                0.42891,                 2.7207,                 1.5128,             7.5245e-05,             7.5245e-05,             7.5245e-05
                     12,                0.11449,                 2.8234,                0.97294,                0.01714,                0.99603,                0.09202,                0.08296,                 0.4481,                  2.665,                 1.5045,             6.7869e-05,             6.7869e-05,             6.7869e-05
                     13,                0.10397,                 2.7338,                0.96276,                0.52464,                0.23255,                0.11572,                0.10462,                0.42151,                 2.5646,                 1.4885,             6.0494e-05,             6.0494e-05,             6.0494e-05
                     14,                  0.098,                 2.6416,                0.95231,                0.36507,                0.30848,                0.14666,                0.13276,                 0.4269,                 2.4808,                 1.4881,             5.3118e-05,             5.3118e-05,             5.3118e-05
                     15,                0.09292,                 2.5558,                 0.9518,                0.41485,                0.26952,                0.17581,                0.15888,                0.42939,                  2.457,                 1.4865,             4.5743e-05,             4.5743e-05,             4.5743e-05
                     16,                0.09013,                 2.4846,                0.95044,                0.36371,                0.32034,                0.18971,                0.17083,                0.44194,                 2.4072,                 1.5255,             3.8368e-05,             3.8368e-05,             3.8368e-05
                     17,                0.08819,                 2.4131,                0.94971,                0.33091,                0.29036,                0.22422,                 0.2018,                0.46124,                 2.3919,                 1.5501,             3.0992e-05,             3.0992e-05,             3.0992e-05
                     18,                0.08755,                 2.3501,                0.94812,                0.46139,                0.32162,                0.24352,                0.22029,                0.44453,                 2.3862,                 1.5165,             2.3617e-05,             2.3617e-05,             2.3617e-05
                     19,                0.08415,                 2.2917,                0.94582,                 0.2415,                0.35537,                0.25621,                0.23073,                0.44824,                 2.2869,                  1.521,             1.6241e-05,             1.6241e-05,             1.6241e-05
                     20,                0.08426,                 2.2572,                0.94535,                 0.2818,                 0.3562,                0.27981,                0.25248,                0.43299,                 2.2641,                 1.4861,             8.8655e-06,             8.8655e-06,             8.8655e-06
