                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 0.5668,                 4.3139,                  1.157,                 0.0146,                0.39391,                 0.0245,                0.02211,                0.26564,                 3.8875,                0.36384,             4.9413e-05,             4.9413e-05,             4.9413e-05
                      2,                0.26116,                  3.915,                0.99164,                      0,                0.00433,                  1e-05,                      0,                 1.3349,                    inf,                 1.6563,             9.4175e-05,             9.4175e-05,             9.4175e-05
                      3,                0.40584,                 3.9009,                 1.0621,                0.00665,                0.80568,                0.02527,                0.01536,                 1.4726,                    inf,                 2.3726,             0.00013402,             0.00013402,             0.00013402
                      4,                  1.618,                 4.2175,                 1.7512,                0.00366,                0.90738,                0.03857,                0.03061,                 2.1135,                 3.6167,                 2.4238,             0.00012687,             0.00012687,             0.00012687
                      5,                 1.9438,                 4.3666,                 1.9569,                0.00337,                0.90705,                0.03677,                0.02876,                 2.0219,                 3.6054,                 2.2652,              0.0001195,              0.0001195,              0.0001195
                      6,                 1.9377,                 4.3638,                 1.9539,                0.00333,                0.90705,                0.03652,                0.02863,                 2.0266,                 3.5979,                  2.266,             0.00011212,             0.00011212,             0.00011212
                      7,                 1.9405,                  4.366,                 1.9579,                0.00357,                0.91382,                0.03685,                0.02885,                 2.0239,                 3.5952,                 2.2626,             0.00010475,             0.00010475,             0.00010475
                      8,                 1.9373,                 4.3637,                  1.954,                0.00358,                0.91626,                0.03792,                0.02983,                 2.0221,                 3.5884,                 2.2634,             9.7371e-05,             9.7371e-05,             9.7371e-05
                      9,                 1.9466,                 4.3666,                 1.9662,                0.00338,                0.90993,                0.03668,                0.02876,                 2.0263,                 3.5988,                 2.2654,             8.9996e-05,             8.9996e-05,             8.9996e-05
                     10,                 1.9343,                 4.3572,                 1.9552,                0.00358,                0.91646,                0.03755,                0.02944,                 2.0065,                 3.5905,                 2.2436,              8.262e-05,              8.262e-05,              8.262e-05
                     11,                 1.5906,                 3.8624,                 1.9333,                0.00342,                 0.8836,                0.04092,                0.02771,                 1.5626,                 3.5884,                 1.8534,             7.5245e-05,             7.5245e-05,             7.5245e-05
                     12,                  1.618,                 3.8711,                 1.9462,                0.00369,                0.88648,                0.03939,                0.02676,                 1.6022,                 3.5967,                 1.9082,             6.7869e-05,             6.7869e-05,             6.7869e-05
                     13,                 1.5986,                 3.8641,                 1.9361,                 0.0035,                 0.8836,                0.03889,                0.02709,                 1.6095,                  3.596,                 1.9083,             6.0494e-05,             6.0494e-05,             6.0494e-05
                     14,                 1.6167,                 3.8742,                 1.9405,                0.00352,                 0.8836,                0.03991,                0.02731,                 1.5941,                 3.5842,                 1.9002,             5.3118e-05,             5.3118e-05,             5.3118e-05
                     15,                 1.5917,                 3.8703,                 1.9329,                0.00345,                 0.8836,                0.04029,                0.02813,                 1.5823,                 3.5981,                 1.8754,             4.5743e-05,             4.5743e-05,             4.5743e-05
                     16,                 1.6049,                 3.8647,                 1.9407,                 0.0035,                 0.8836,                0.03997,                0.02755,                 1.5874,                 3.5949,                 1.8812,             3.8368e-05,             3.8368e-05,             3.8368e-05
                     17,                 1.5959,                 3.8627,                 1.9377,                0.00357,                 0.8836,                0.03973,                0.02683,                 1.5802,                 3.5838,                 1.8865,             3.0992e-05,             3.0992e-05,             3.0992e-05
                     18,                 1.6137,                 3.8657,                  1.944,                0.00351,                 0.8836,                0.03884,                0.02691,                 1.6118,                  3.599,                 1.9103,             2.3617e-05,             2.3617e-05,             2.3617e-05
                     19,                 1.5914,                 3.8649,                 1.9326,                0.00338,                 0.8836,                0.04159,                0.02917,                 1.5987,                 3.6097,                 1.8781,             1.6241e-05,             1.6241e-05,             1.6241e-05
                     20,                 1.6191,                 3.8763,                 1.9475,                0.00377,                 0.8836,                0.04065,                0.02694,                  1.523,                 3.5444,                 1.8597,             8.8655e-06,             8.8655e-06,             8.8655e-06
