                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.9402,                 5.4254,                 4.1663,                0.00416,                  0.024,                0.00444,                0.00229,                 2.6483,                 4.4121,                 3.8422,             4.9413e-05,             4.9413e-05,             4.9413e-05
                      2,                 1.9388,                 4.8074,                 3.2032,                0.01491,                0.78445,                0.03562,                0.02666,                0.99841,                 3.5174,                 1.8187,             9.4175e-05,             9.4175e-05,             9.4175e-05
                      3,                  1.068,                 3.7616,                 2.0746,                0.01374,                0.92063,                 0.0379,                0.03202,                0.78058,                 3.2787,                 1.1433,             0.00013402,             0.00013402,             0.00013402
                      4,                0.76267,                 3.3244,                 1.6283,                0.01588,                0.99182,                 0.0523,                0.04382,                0.81389,                 3.0811,                0.87956,             0.00012687,             0.00012687,             0.00012687
                      5,                0.61614,                 3.1758,                 1.4291,                0.01592,                 0.9886,                0.05721,                0.04915,                0.71274,                 3.0274,                0.70108,              0.0001195,              0.0001195,              0.0001195
                      6,                0.51701,                 3.0839,                 1.3117,                0.01589,                0.97273,                0.07476,                 0.0681,                0.47638,                  2.954,                0.49092,             0.00011212,             0.00011212,             0.00011212
                      7,                0.47004,                 3.0353,                 1.2483,                0.01588,                      1,                0.07194,                0.06761,                0.40965,                 2.8216,                0.38877,             0.00010475,             0.00010475,             0.00010475
                      8,                0.42929,                 2.9933,                 1.1975,                0.01605,                      1,                0.07724,                0.07001,                0.45276,                 2.8166,                 0.3811,             9.7371e-05,             9.7371e-05,             9.7371e-05
                      9,                0.40235,                 2.9609,                 1.1661,                 0.0161,                      1,                0.08251,                 0.0761,                0.43675,                 2.7167,                0.38768,             8.9996e-05,             8.9996e-05,             8.9996e-05
                     10,                0.38841,                 2.9304,                 1.1442,                0.01603,                      1,                0.08361,                0.07878,                0.41215,                 2.7086,                0.34973,              8.262e-05,              8.262e-05,              8.262e-05
                     11,                0.17536,                 3.0059,                 1.0475,                 0.0148,                      1,                0.09561,                0.09185,                0.53525,                 2.7535,                 1.5368,             7.5245e-05,             7.5245e-05,             7.5245e-05
                     12,                0.11779,                 2.7544,                0.96774,                0.20049,                0.38379,                0.13466,                0.12715,                0.49735,                 2.5955,                 1.5883,             6.7869e-05,             6.7869e-05,             6.7869e-05
                     13,                0.11105,                  2.613,                0.96019,                0.44389,                0.23252,                0.18628,                0.17303,                0.48021,                 2.4862,                 1.6248,             6.0494e-05,             6.0494e-05,             6.0494e-05
                     14,                0.10813,                 2.4918,                0.95231,                0.51586,                0.27774,                0.25076,                0.23353,                 0.4774,                 2.3561,                  1.709,             5.3118e-05,             5.3118e-05,             5.3118e-05
                     15,                0.10584,                 2.3872,                0.95303,                 0.3664,                0.32154,                 0.2972,                0.28946,                0.45962,                 2.2956,                 1.5636,             4.5743e-05,             4.5743e-05,             4.5743e-05
                     16,                0.10318,                 2.2932,                0.95056,                0.45571,                0.33637,                 0.3496,                0.33476,                0.45768,                 2.2166,                  1.575,             3.8368e-05,             3.8368e-05,             3.8368e-05
                     17,                0.10286,                 2.2074,                0.94907,                0.49724,                0.38005,                0.38261,                0.36291,                0.47343,                 2.1883,                 1.6241,             3.0992e-05,             3.0992e-05,             3.0992e-05
                     18,                0.10357,                 2.1269,                0.94889,                0.53772,                0.37104,                 0.4276,                0.40493,                0.45787,                  2.126,                 1.5421,             2.3617e-05,             2.3617e-05,             2.3617e-05
                     19,                0.09743,                 2.0673,                0.94567,                0.42937,                0.36409,                0.42634,                 0.4082,                0.44664,                   2.11,                  1.498,             1.6241e-05,             1.6241e-05,             1.6241e-05
                     20,                0.09878,                 2.0258,                 0.9452,                0.45365,                0.39937,                0.44365,                0.42929,                0.45295,                 2.0449,                 1.5364,             8.8655e-06,             8.8655e-06,             8.8655e-06
