                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.9867,                 5.4329,                 4.1595,                0.00142,                 0.0095,                0.00172,                0.00024,                 3.0606,                 4.6107,                 4.0007,             4.9413e-05,             4.9413e-05,             4.9413e-05
                      2,                  2.019,                 4.9203,                 3.2698,                0.00142,                 0.0095,                0.00172,                0.00024,                 3.4733,                    inf,                 26.239,             9.4175e-05,             9.4175e-05,             9.4175e-05
                      3,                 2.5451,                  5.102,                 3.3981,                0.00548,                0.08146,                0.00837,                0.00831,                 1.7659,                 4.0886,                 2.4941,             0.00013402,             0.00013402,             0.00013402
                      4,                 2.6661,                 5.2542,                 3.5207,                0.00599,                0.12778,                0.01358,                0.01346,                 1.5631,                 3.9987,                 2.2943,             0.00012687,             0.00012687,             0.00012687
                      5,                 2.6648,                 5.2676,                 3.5221,                0.00879,                0.13067,                0.01539,                0.01526,                 1.5562,                 3.9967,                 2.2889,              0.0001195,              0.0001195,              0.0001195
                      6,                 2.6565,                  5.263,                 3.5253,                0.00565,                0.12036,                0.01336,                0.01325,                 1.5853,                 4.0036,                 2.3083,             0.00011212,             0.00011212,             0.00011212
                      7,                 2.6614,                 5.2657,                 3.5226,                0.00601,                0.11771,                0.01243,                0.01232,                 1.5972,                 4.0081,                 2.3176,             0.00010475,             0.00010475,             0.00010475
                      8,                  2.672,                 5.2496,                 3.5359,                0.00568,                0.12036,                0.01291,                 0.0128,                 1.5714,                 4.0012,                 2.3022,             9.7371e-05,             9.7371e-05,             9.7371e-05
                      9,                 2.6603,                 5.2702,                 3.5253,                0.00598,                0.12036,                0.01318,                0.01308,                 1.5956,                 4.0085,                 2.3189,             8.9996e-05,             8.9996e-05,             8.9996e-05
                     10,                 2.6604,                  5.241,                  3.526,                0.00612,                0.11771,                0.01151,                 0.0114,                 1.5986,                 4.0138,                 2.3298,              8.262e-05,              8.262e-05,              8.262e-05
                     11,                 1.9202,                 5.8795,                 3.0601,                0.01182,                0.23738,                  0.018,                0.01439,                  1.207,                 3.9494,                 2.2308,             7.5245e-05,             7.5245e-05,             7.5245e-05
                     12,                 1.9161,                 5.7883,                 3.0379,                0.01219,                0.24929,                 0.0193,                0.01566,                 1.1931,                 3.9278,                 2.1989,             6.7869e-05,             6.7869e-05,             6.7869e-05
                     13,                 1.9206,                 5.8329,                 3.0448,                0.01259,                0.23829,                0.01917,                0.01559,                 1.2058,                 3.9376,                 2.2108,             6.0494e-05,             6.0494e-05,             6.0494e-05
                     14,                 1.9273,                 5.7989,                 3.0435,                0.01233,                0.24056,                0.01915,                0.01558,                 1.2057,                 3.9392,                 2.2164,             5.3118e-05,             5.3118e-05,             5.3118e-05
                     15,                  1.911,                 5.8944,                 3.0331,                 0.0129,                0.24041,                0.01982,                0.01575,                 1.2007,                 3.9438,                 2.2202,             4.5743e-05,             4.5743e-05,             4.5743e-05
                     16,                 1.9178,                 5.8438,                 3.0536,                0.01227,                0.24056,                0.01914,                0.01521,                 1.2001,                 3.9389,                 2.2142,             3.8368e-05,             3.8368e-05,             3.8368e-05
                     17,                 1.9138,                  5.828,                 3.0441,                0.01267,                0.23829,                0.01949,                0.01579,                  1.209,                 3.9448,                 2.2196,             3.0992e-05,             3.0992e-05,             3.0992e-05
                     18,                 1.9184,                 5.7883,                 3.0503,                0.01328,                0.23564,                0.01954,                0.01565,                 1.2187,                 3.9435,                  2.214,             2.3617e-05,             2.3617e-05,             2.3617e-05
                     19,                 1.9086,                  5.847,                 3.0478,                0.01218,                0.24929,                0.01921,                0.01548,                 1.1916,                 3.9361,                 2.2079,             1.6241e-05,             1.6241e-05,             1.6241e-05
                     20,                 1.9162,                 5.8202,                 3.0539,                0.01252,                0.24267,                0.01914,                0.01509,                 1.2021,                 3.9409,                 2.2231,             8.8655e-06,             8.8655e-06,             8.8655e-06
