                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.0247,                 4.5996,                 4.1685,                0.00664,                      1,                0.07604,                0.04278,                 3.1902,                 4.1426,                 4.1352,             0.00020325,             0.00020325,             0.00020325
                      2,                 2.4939,                 4.1613,                 3.6487,                0.02208,                   0.75,                0.13419,                0.05181,                 3.0234,                 4.2909,                 4.0853,             0.00039121,             0.00039121,             0.00039121
                      3,                 1.8055,                 3.5042,                   2.96,                0.03612,                0.71037,                 0.1399,                0.08482,                 2.0978,                 3.7149,                 3.3893,             0.00055855,             0.00055855,             0.00055855
                      4,                 1.4287,                 2.8992,                 2.4032,                0.38624,                0.44203,                0.21676,                0.16283,                 1.0813,                 2.5028,                 2.6058,             0.00053219,             0.00053219,             0.00053219
                      5,                 1.1711,                 2.5656,                 2.0894,                0.19075,                0.47883,                0.28689,                0.20469,                 1.1831,                 2.2748,                 2.5183,             0.00050125,             0.00050125,             0.00050125
                      6,                 1.0033,                 2.4098,                  1.853,                0.21554,                0.73227,                0.31094,                0.27899,                0.70082,                 2.1809,                 1.9397,             0.00047031,             0.00047031,             0.00047031
                      7,                0.88211,                 2.3375,                 1.7206,                0.16592,                0.83511,                0.34196,                0.29977,                 0.7495,                 1.9954,                 1.9602,             0.00043937,             0.00043937,             0.00043937
                      8,                0.84416,                 2.2758,                 1.6443,                0.18761,                0.69657,                0.35525,                0.31957,                0.62687,                 1.9438,                 1.7269,             0.00040844,             0.00040844,             0.00040844
                      9,                0.79627,                 2.2405,                 1.5742,                 0.2066,                0.82629,                0.34029,                0.31298,                0.51115,                 1.9894,                 1.6278,              0.0003775,              0.0003775,              0.0003775
                     10,                0.71815,                 2.1849,                 1.5151,                0.60885,                0.16667,                0.10251,                 0.0923,                0.62112,                 6.6622,                 1.6817,             0.00034656,             0.00034656,             0.00034656
                     11,                0.33762,                 2.2925,                 1.2641,                0.10993,                0.60812,                 0.1973,                0.14799,                  1.256,                 2.9564,                 2.6015,             0.00031562,             0.00031562,             0.00031562
                     12,                0.45828,                 2.1162,                 1.3805,                0.03034,                0.94643,                0.13136,                0.13117,                0.71715,                 4.6917,                 2.4074,             0.00028469,             0.00028469,             0.00028469
                     13,                0.91854,                 2.3584,                 1.9722,                0.11355,                0.43162,                0.20367,                    0.2,                0.64874,                 2.9934,                 2.1474,             0.00025375,             0.00025375,             0.00025375
                     14,                 0.9182,                 2.3819,                 2.0119,                0.14466,                0.52885,                0.25878,                0.24929,                0.62417,                 2.3266,                 2.0515,             0.00022281,             0.00022281,             0.00022281
                     15,                0.94722,                 2.4091,                 2.0522,                0.16326,                0.45765,                0.26941,                0.25573,                0.63697,                  2.183,                 2.0535,             0.00019188,             0.00019188,             0.00019188
                     16,                 0.9887,                 2.3871,                 2.0996,                0.19725,                0.61557,                0.28427,                0.26945,                0.64425,                 2.1448,                 2.0551,             0.00016094,             0.00016094,             0.00016094
                     17,                0.94409,                 2.3942,                 2.0395,                0.19535,                0.65288,                0.29296,                0.27783,                0.64723,                 2.1384,                 2.0532,                0.00013,                0.00013,                0.00013
                     18,                0.93335,                 2.3829,                 2.0386,                0.19951,                0.65776,                0.28923,                0.27393,                0.64603,                 2.1425,                 2.0383,             9.9063e-05,             9.9063e-05,             9.9063e-05
                     19,                0.98227,                 2.4108,                 2.0728,                0.19332,                0.63384,                0.29162,                0.27657,                0.64619,                 2.1416,                 2.0471,             6.8125e-05,             6.8125e-05,             6.8125e-05
                     20,                0.98904,                 2.3977,                 2.0908,                0.19767,                0.65609,                0.28955,                0.27463,                0.64793,                 2.1356,                 2.0512,             3.7188e-05,             3.7188e-05,             3.7188e-05
