epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,153.419,0.88102,2.81436,1.33894,0.49458,0.56589,0.54699,0.49452,0.3926,2.47403,0.2957,0.000204802,0.000204802,0.000204802
2,335.321,0.51992,1.68752,1.06019,0.70574,0.67837,0.7904,0.73909,0.25513,1.69678,0.18509,0.000409046,0.000409046,0.000409046
3,743.259,0.50014,1.52287,1.04199,0.56273,0.71721,0.62481,0.61871,0.2928,1.85895,0.14096,0.000609164,0.000609164,0.000609164
4,1061.92,0.46305,1.4201,1.01335,0.697,0.74365,0.74522,0.69968,0.33882,1.32619,0.20718,0.000606437,0.000606437,0.000606437
5,1275.13,0.41239,1.32526,1.00307,0.836,0.77847,0.88659,0.81932,0.39189,0.86696,0.20009,0.00060025,0.00060025,0.00060025
6,4230.57,0.40814,1.21544,0.99938,0.82051,0.86015,0.91319,0.8832,0.36467,0.99937,0.19628,0.000594062,0.000594062,0.000594062
7,4471.99,0.39824,1.22362,0.99026,0.81505,0.79658,0.87244,0.83963,0.40507,1.07366,0.206,0.000587875,0.000587875,0.000587875
8,4627.34,0.38838,1.10798,0.98121,0.86241,0.8789,0.95162,0.92076,0.35504,0.85438,0.19871,0.000581687,0.000581687,0.000581687
9,4788.38,0.3757,1.06117,0.9832,0.85155,0.83798,0.92884,0.88183,0.38485,0.80026,0.19969,0.0005755,0.0005755,0.0005755
10,4951.41,0.35414,1.05956,0.97204,0.91784,0.92769,0.95628,0.87981,0.43584,0.69803,0.22304,0.000569313,0.000569313,0.000569313
11,5115.76,0.33903,0.98737,0.97052,0.8788,0.9303,0.96813,0.94422,0.28728,0.65761,0.19161,0.000563125,0.000563125,0.000563125
12,5281.45,0.33355,1.00865,0.96952,0.86007,0.90098,0.93474,0.88978,0.35203,0.74622,0.19557,0.000556938,0.000556938,0.000556938
13,5449.02,0.35637,0.97074,0.98606,0.96518,0.91985,0.9747,0.9585,0.29433,0.49867,0.18127,0.00055075,0.00055075,0.00055075
14,5619.95,0.32793,0.94977,0.96372,0.93159,0.88967,0.9721,0.92895,0.38005,0.64519,0.1948,0.000544563,0.000544563,0.000544563
15,5789.31,0.32771,0.95267,0.96152,0.96571,0.9058,0.98146,0.95014,0.30612,0.48648,0.16301,0.000538375,0.000538375,0.000538375
16,5959.21,0.30882,0.86596,0.95999,0.96892,0.95186,0.98451,0.88774,0.4327,0.59997,0.19994,0.000532187,0.000532187,0.000532187
17,6129.27,0.31952,0.89107,0.96337,0.9348,0.94581,0.97442,0.91325,0.33357,0.47628,0.17905,0.000526,0.000526,0.000526
18,6299.98,0.31248,0.86929,0.95458,0.75064,0.93517,0.95437,0.92367,0.30427,0.60497,0.16596,0.000519812,0.000519812,0.000519812
19,6470.7,0.30071,0.85266,0.96122,0.88343,0.92715,0.96247,0.93136,0.31495,0.57272,0.17358,0.000513625,0.000513625,0.000513625
20,6643.15,0.29268,0.84926,0.94591,0.97045,0.99053,0.995,0.94613,0.35169,0.40397,0.17679,0.000507438,0.000507438,0.000507438
21,6815.1,0.29268,0.79516,0.94887,0.97526,0.96343,0.98144,0.96581,0.3575,0.4581,0.17882,0.00050125,0.00050125,0.00050125
22,6987.08,0.28989,0.78832,0.96073,0.96917,0.96746,0.98049,0.9533,0.3822,0.54283,0.18489,0.000495063,0.000495063,0.000495063
23,7159.68,0.27111,0.75653,0.94205,0.92564,0.96303,0.98543,0.96986,0.29284,0.50429,0.12969,0.000488875,0.000488875,0.000488875
24,7331.87,0.28686,0.75495,0.95031,0.97715,0.96034,0.98523,0.9721,0.31027,0.4575,0.15598,0.000482687,0.000482687,0.000482687
25,7504.19,0.2848,0.7388,0.94226,0.93737,0.9407,0.97454,0.95905,0.32177,0.45449,0.16369,0.0004765,0.0004765,0.0004765
26,7676.87,0.27162,0.73658,0.94294,0.94088,0.93217,0.96774,0.92837,0.3285,0.52867,0.16385,0.000470312,0.000470312,0.000470312
27,7850.77,0.27617,0.73102,0.94241,0.94927,0.96261,0.98572,0.96556,0.37476,0.41087,0.18763,0.000464125,0.000464125,0.000464125
28,8417.2,0.27573,0.73607,0.94177,0.96893,0.97312,0.98717,0.95168,0.368,0.5505,0.17988,0.000457938,0.000457938,0.000457938
29,8575.99,0.26693,0.68819,0.94271,0.98233,0.96401,0.99287,0.98901,0.23635,0.28791,0.12777,0.00045175,0.00045175,0.00045175
30,8742.27,0.25629,0.70388,0.93692,0.98455,0.97403,0.99432,0.98631,0.34872,0.45888,0.15699,0.000445562,0.000445562,0.000445562
31,8909.63,0.24144,0.69401,0.92629,0.96728,0.94979,0.99245,0.97459,0.36413,0.58473,0.18498,0.000439375,0.000439375,0.000439375
32,9077.42,0.25206,0.65646,0.94144,0.96856,0.97307,0.99346,0.98602,0.26984,0.40129,0.13651,0.000433187,0.000433187,0.000433187
33,9245.74,0.24347,0.65213,0.93621,0.9627,0.97908,0.98819,0.9701,0.29412,0.38784,0.15071,0.000427,0.000427,0.000427
34,9415.17,0.24846,0.66905,0.93891,0.97911,0.97604,0.98935,0.96132,0.32282,0.37247,0.16675,0.000420812,0.000420812,0.000420812
35,9585.38,0.24621,0.6404,0.93732,0.9824,0.98175,0.99091,0.96777,0.26638,0.46818,0.13799,0.000414625,0.000414625,0.000414625
36,9755.8,0.22831,0.64113,0.93399,0.97856,0.98633,0.99461,0.95574,0.41506,0.42459,0.19635,0.000408438,0.000408438,0.000408438
37,9925.8,0.23975,0.6265,0.93555,0.95739,0.98599,0.99327,0.954,0.33406,0.44252,0.17301,0.00040225,0.00040225,0.00040225
38,10095.2,0.23215,0.61738,0.93079,0.98701,0.98936,0.98194,0.9712,0.2538,0.37084,0.13018,0.000396063,0.000396063,0.000396063
39,10264.8,0.22647,0.6187,0.93222,0.98075,0.98099,0.98736,0.95664,0.30416,0.3739,0.14775,0.000389875,0.000389875,0.000389875
40,10434.3,0.23028,0.59883,0.92586,0.98539,0.97469,0.99057,0.96268,0.32785,0.40276,0.16951,0.000383688,0.000383688,0.000383688
41,10604.3,0.24115,0.59616,0.93395,0.98544,0.99356,0.995,0.96576,0.34238,0.44416,0.15214,0.0003775,0.0003775,0.0003775
42,10774.2,0.22386,0.59393,0.92607,0.98094,0.98062,0.995,0.98877,0.32503,0.34802,0.15598,0.000371313,0.000371313,0.000371313
43,10944,0.22159,0.58042,0.92239,0.96897,0.96584,0.98692,0.95724,0.29025,0.35224,0.13966,0.000365125,0.000365125,0.000365125
44,11114.1,0.22031,0.56856,0.92655,0.96785,0.99032,0.99469,0.94829,0.24141,0.32545,0.13506,0.000358938,0.000358938,0.000358938
45,11285,0.22434,0.58829,0.93076,0.9884,0.9863,0.99424,0.98985,0.23806,0.33947,0.12794,0.00035275,0.00035275,0.00035275
46,11455.6,0.21097,0.59658,0.93175,0.99184,0.9888,0.995,0.9914,0.28543,0.41596,0.13259,0.000346563,0.000346563,0.000346563
47,11626.6,0.20891,0.55722,0.928,0.98045,0.97588,0.99045,0.97667,0.26671,0.31975,0.13211,0.000340375,0.000340375,0.000340375
48,11798,0.20151,0.54599,0.92511,0.98887,0.9883,0.995,0.98239,0.30772,0.35991,0.14515,0.000334188,0.000334188,0.000334188
49,11968.2,0.205,0.55834,0.92817,0.97653,0.96888,0.99262,0.98509,0.25158,0.39785,0.12132,0.000328,0.000328,0.000328
50,12864.9,0.2204,0.55724,0.92449,0.99178,0.99202,0.995,0.9919,0.20559,0.41185,0.10621,0.000321812,0.000321812,0.000321812
51,13957.7,0.19716,0.54223,0.92286,0.97902,0.98357,0.98924,0.94903,0.25947,0.46729,0.12228,0.000315625,0.000315625,0.000315625
52,15135.2,0.19178,0.54079,0.92197,0.99448,0.99341,0.995,0.99356,0.23959,0.40851,0.11479,0.000309437,0.000309437,0.000309437
53,15310.8,0.19702,0.52955,0.9279,0.98966,0.99895,0.995,0.99383,0.24369,0.39151,0.12236,0.00030325,0.00030325,0.00030325
54,15490.8,0.20946,0.54912,0.92506,0.99177,0.99712,0.995,0.98626,0.25176,0.36093,0.12446,0.000297063,0.000297063,0.000297063
55,15675.3,0.19005,0.52695,0.91722,0.98261,0.98131,0.99469,0.97297,0.30074,0.55625,0.14641,0.000290875,0.000290875,0.000290875
56,15862.3,0.19457,0.53921,0.92626,0.99115,0.98808,0.99461,0.97597,0.30689,0.43377,0.13651,0.000284688,0.000284688,0.000284688
57,16051.6,0.18057,0.50039,0.91827,0.99203,0.98727,0.99045,0.98159,0.25837,0.52231,0.12974,0.0002785,0.0002785,0.0002785
58,16240.8,0.17886,0.50144,0.91634,0.9865,0.99192,0.995,0.98866,0.25288,0.29823,0.12822,0.000272313,0.000272313,0.000272313
59,16431.1,0.1883,0.49805,0.91842,0.98997,0.98332,0.995,0.99017,0.28111,0.34274,0.14029,0.000266125,0.000266125,0.000266125
60,16624,0.18481,0.5324,0.92165,0.99158,0.9902,0.99471,0.98386,0.25897,0.32673,0.12604,0.000259938,0.000259938,0.000259938
61,16816.5,0.17566,0.46534,0.91567,0.98833,0.98982,0.99461,0.99144,0.20752,0.32663,0.10892,0.00025375,0.00025375,0.00025375
62,17009.5,0.16729,0.4624,0.91348,0.98066,0.98738,0.98911,0.98173,0.26478,0.40855,0.12801,0.000247563,0.000247563,0.000247563
63,17203.3,0.18906,0.46507,0.91579,0.99322,0.98885,0.995,0.98025,0.1692,0.40663,0.08876,0.000241375,0.000241375,0.000241375
64,17397.8,0.18266,0.48907,0.91824,0.98261,0.98571,0.9896,0.98584,0.20947,0.33395,0.10305,0.000235188,0.000235188,0.000235188
65,17593.8,0.17651,0.50668,0.91897,0.984,0.98571,0.98617,0.97831,0.20651,0.29537,0.10822,0.000229,0.000229,0.000229
66,17789.7,0.18652,0.47884,0.92281,0.9936,0.98991,0.995,0.9898,0.23824,0.30716,0.1155,0.000222813,0.000222813,0.000222813
67,17984.8,0.18463,0.4529,0.91747,0.98728,0.97686,0.99257,0.98321,0.22056,0.26748,0.1095,0.000216625,0.000216625,0.000216625
68,18180.2,0.16897,0.44366,0.91048,0.99039,0.99229,0.995,0.98732,0.19558,0.25421,0.10232,0.000210437,0.000210437,0.000210437
69,18375.6,0.17486,0.45012,0.92223,0.99483,1,0.995,0.98529,0.18144,0.32437,0.10109,0.00020425,0.00020425,0.00020425
70,18571.6,0.16594,0.44716,0.91676,0.99375,0.99685,0.995,0.99015,0.19323,0.36399,0.1044,0.000198063,0.000198063,0.000198063
71,18944.8,0.17171,0.45548,0.92098,0.99207,0.99164,0.995,0.99346,0.22239,0.34016,0.11115,0.000191875,0.000191875,0.000191875
72,20301.3,0.16535,0.43207,0.91353,0.9924,0.99593,0.995,0.99321,0.23084,0.34576,0.11382,0.000185688,0.000185688,0.000185688
73,20454.3,0.15667,0.43684,0.91185,0.99024,1,0.995,0.98956,0.20572,0.28723,0.1051,0.0001795,0.0001795,0.0001795
